trader_name,source,section,rank,est. % return,# of holdings,est. stock aum (usd),page,scraped_at
Castle Hook Partners LP,quiver,institutional_13f,1344,+12.41%,50,"$5,591,017,743",1,2025-10-14T11-57-48Z
"Brick & Kyle, Associates",quiver,institutional_13f,1345,+12.41%,56,"$239,449,769",1,2025-10-14T11-57-48Z
"Anchorage Capital Group, L.L.C.",quiver,institutional_13f,1346,+12.40%,5,"$282,108,423",1,2025-10-14T11-57-48Z
Point72 Hong Kong Ltd,quiver,institutional_13f,1347,+12.40%,410,"$1,434,154,847",1,2025-10-14T11-57-48Z
"Generali Investments, Management Co LLC",quiver,institutional_13f,1348,+12.40%,153,"$453,858,580",1,2025-10-14T11-57-48Z
NATIONAL BANK OF CANADA |FI|,quiver,institutional_13f,1349,+12.39%,2099,"$96,162,042,130",1,2025-10-14T11-57-48Z
"Twin Tree Management, LP",quiver,institutional_13f,1350,+12.39%,390,"$3,960,711,643",1,2025-10-14T11-57-48Z
"Gallo Partners, LP",quiver,institutional_13f,1351,+12.39%,41,"$144,984,565",1,2025-10-14T11-57-48Z
EUBEL BRADY & SUTTMAN ASSET MANAGEMENT INC,quiver,institutional_13f,1352,+12.38%,72,"$589,329,412",1,2025-10-14T11-57-48Z
"Legacy Investment Solutions, LLC",quiver,institutional_13f,1353,+12.38%,625,"$129,125,291",1,2025-10-14T11-57-48Z
"Legacy Wealth Managment, LLC|ID",quiver,institutional_13f,1354,+12.38%,625,"$129,125,291",1,2025-10-14T11-57-48Z
"KANE INVESTMENT MANAGEMENT, INC.",quiver,institutional_13f,1355,+12.38%,81,"$198,857,396",1,2025-10-14T11-57-48Z
"FIDUCIARY FAMILY OFFICE, LLC",quiver,institutional_13f,1356,+12.38%,177,"$323,497,126",1,2025-10-14T11-57-48Z
EMC Capital Management,quiver,institutional_13f,1357,+12.38%,271,"$200,113,130",1,2025-10-14T11-57-48Z
ThornTree Capital Partners LP,quiver,institutional_13f,1358,+12.37%,17,"$572,322,260",1,2025-10-14T11-57-48Z
"Kinetic Partners Management, LP",quiver,institutional_13f,1359,+12.36%,37,"$1,962,606,810",1,2025-10-14T11-57-48Z
MWA Asset Management,quiver,institutional_13f,1360,+12.36%,115,"$170,533,069",1,2025-10-14T11-57-48Z
Grandview Asset Management LLC,quiver,institutional_13f,1361,+12.35%,130,"$326,313,244",1,2025-10-14T11-57-48Z
"LETKO, BROSSEAU & ASSOCIATES INC",quiver,institutional_13f,1362,+12.35%,81,"$5,286,944,329",1,2025-10-14T11-57-48Z
"Caitlin John, LLC",quiver,institutional_13f,1363,+12.35%,124,"$109,441,081",1,2025-10-14T11-57-48Z
MILLENNIUM MANAGEMENT LLC,quiver,institutional_13f,1364,+12.34%,3009,"$100,533,712,121",1,2025-10-14T11-57-48Z
Jain Global LLC,quiver,institutional_13f,1365,+12.34%,976,"$6,198,063,216",1,2025-10-14T11-57-48Z
Arrow Capital Pty Ltd,quiver,institutional_13f,1366,+12.34%,28,"$148,905,822",1,2025-10-14T11-57-48Z
DELTEC ASSET MANAGEMENT LLC,quiver,institutional_13f,1367,+12.33%,121,"$536,200,057",1,2025-10-14T11-57-48Z
JTC Employer Solutions Trustee Ltd,quiver,institutional_13f,1368,+12.32%,264,"$1,117,964,895",1,2025-10-14T11-57-48Z
Clare Market Investments LLC,quiver,institutional_13f,1369,+12.31%,130,"$432,815,476",1,2025-10-14T11-57-48Z
"Greenbrier Partners Capital Management, LLC",quiver,institutional_13f,1370,+12.31%,12,"$1,144,321,081",1,2025-10-14T11-57-48Z
"Fairbanks Capital Management, Inc.",quiver,institutional_13f,1371,+12.31%,52,"$185,705,931",1,2025-10-14T11-57-48Z
"Salvus Wealth Management, LLC",quiver,institutional_13f,1372,+12.31%,115,"$158,660,234",1,2025-10-14T11-57-48Z
Saudi Central Bank,quiver,institutional_13f,1373,+12.31%,52,"$2,383,674,209",1,2025-10-14T11-57-48Z
BIRINYI ASSOCIATES INC,quiver,institutional_13f,1374,+12.30%,53,"$362,835,600",1,2025-10-14T11-57-48Z
"Prosperity Wealth Management, Inc.",quiver,institutional_13f,1375,+12.29%,178,"$252,121,823",1,2025-10-14T11-57-48Z
"Nordwand Advisors, LLC",quiver,institutional_13f,1376,+12.28%,164,"$573,871,345",1,2025-10-14T11-57-48Z
TT International Asset Management LTD,quiver,institutional_13f,1377,+12.28%,41,"$407,393,280",1,2025-10-14T11-57-48Z
Atlatl Advisers LLC,quiver,institutional_13f,1378,+12.27%,111,"$190,850,584",1,2025-10-14T11-57-48Z
Randolph Co Inc,quiver,institutional_13f,1379,+12.27%,45,"$1,058,571,436",1,2025-10-14T11-57-48Z
FIRST SABREPOINT CAPITAL MANAGEMENT LP,quiver,institutional_13f,1380,+12.26%,23,"$257,151,476",1,2025-10-14T11-57-48Z
"Richard C. Young & CO., LTD.",quiver,institutional_13f,1381,+12.26%,83,"$1,074,156,958",1,2025-10-14T11-57-48Z
"Cornerstone Select Advisors, LLC",quiver,institutional_13f,1382,+12.26%,100,"$115,711,317",1,2025-10-14T11-57-48Z
"Strengthening Families & Communities, LLC",quiver,institutional_13f,1383,+12.26%,359,"$197,550,053",1,2025-10-14T11-57-48Z
"FAGAN ASSOCIATES, INC.",quiver,institutional_13f,1384,+12.25%,119,"$657,687,339",1,2025-10-14T11-57-48Z
"Ervin Investment Management, LLC",quiver,institutional_13f,1385,+12.25%,35,"$111,119,758",1,2025-10-14T11-57-48Z
JT Stratford LLC,quiver,institutional_13f,1386,+12.25%,271,"$637,562,372",1,2025-10-14T11-57-48Z
"Accent Capital Management, LLC",quiver,institutional_13f,1387,+12.25%,284,"$238,890,402",1,2025-10-14T11-57-48Z
"Morse Asset Management, Inc",quiver,institutional_13f,1388,+12.24%,327,"$433,360,340",1,2025-10-14T11-57-48Z
BXM Wealth LLC,quiver,institutional_13f,1389,+12.23%,101,"$86,712,413",1,2025-10-14T11-57-48Z
"Wealth Management Associates, Inc.",quiver,institutional_13f,1390,+12.23%,201,"$264,716,997",1,2025-10-14T11-57-48Z
"Nelson Capital Management, LLC",quiver,institutional_13f,1391,+12.23%,95,"$774,848,667",1,2025-10-14T11-57-48Z
"BWCP, LP",quiver,institutional_13f,1392,+12.23%,25,"$600,408,120",1,2025-10-14T11-57-48Z
Keystone Financial Group,quiver,institutional_13f,1393,+12.23%,372,"$1,055,513,630",1,2025-10-14T11-57-48Z
"Grantham, Mayo, Van Otterloo & Co. LLC",quiver,institutional_13f,1394,+12.22%,543,"$31,448,958,965",1,2025-10-14T11-57-48Z
INTACT INVESTMENT MANAGEMENT INC.,quiver,institutional_13f,1395,+12.22%,304,"$2,832,848,013",1,2025-10-14T11-57-48Z
"Resolute Wealth Strategies, LLC",quiver,institutional_13f,1396,+12.22%,95,"$196,097,584",1,2025-10-14T11-57-48Z
OXFORD ASSET MANAGEMENT LLP,quiver,institutional_13f,1397,+12.22%,440,"$271,240,559",1,2025-10-14T11-57-48Z
OAK ASSOCIATES LTD |OH|,quiver,institutional_13f,1398,+12.22%,122,"$1,557,192,113",1,2025-10-14T11-57-48Z
GLYNN CAPITAL MANAGEMENT LLC,quiver,institutional_13f,1399,+12.21%,40,"$395,823,762",1,2025-10-14T11-57-48Z
WINNOW WEALTH LLC,quiver,institutional_13f,1400,+12.20%,155,"$131,894,086",1,2025-10-14T11-57-48Z
Accordant Advisory Group Inc,quiver,institutional_13f,1401,+12.20%,155,"$131,894,086",1,2025-10-14T11-57-48Z
CITIGROUP INC,quiver,institutional_13f,1402,+12.19%,3751,"$143,923,324,526",1,2025-10-14T11-57-48Z
Veracity Capital LLC,quiver,institutional_13f,1403,+12.18%,214,"$290,361,551",1,2025-10-14T11-57-48Z
Myriad Asset Management US LP,quiver,institutional_13f,1404,+12.18%,14,"$140,155,996",1,2025-10-14T11-57-48Z
Sculptor Capital LP,quiver,institutional_13f,1405,+12.17%,75,"$1,908,437,474",1,2025-10-14T11-57-48Z
"Circle Wealth Management, LLC",quiver,institutional_13f,1406,+12.17%,211,"$4,969,029,191",1,2025-10-14T11-57-48Z
"Oder Investment Management, LLC",quiver,institutional_13f,1407,+12.17%,94,"$143,151,131",1,2025-10-14T11-57-48Z
"Stillwater Capital Advisors, LLC",quiver,institutional_13f,1408,+12.17%,66,"$848,477,356",1,2025-10-14T11-57-48Z
Taikang Asset Management (Hong Kong) Co Ltd,quiver,institutional_13f,1409,+12.16%,91,"$788,317,888",1,2025-10-14T11-57-48Z
CAMPBELL CAPITAL MANAGEMENT INC,quiver,institutional_13f,1410,+12.16%,44,"$244,041,295",1,2025-10-14T11-57-48Z
"DRW Securities, LLC",quiver,institutional_13f,1411,+12.15%,828,"$1,308,017,543",1,2025-10-14T11-57-48Z
"Wildcat Capital Management, LLC",quiver,institutional_13f,1412,+12.15%,4,"$170,117,391",1,2025-10-14T11-57-48Z
"HOEY INVESTMENTS, INC",quiver,institutional_13f,1413,+12.14%,343,"$618,340,349",1,2025-10-14T11-57-48Z
Silicon Valley Capital Partners,quiver,institutional_13f,1414,+12.14%,266,"$1,002,948,762",1,2025-10-14T11-57-48Z
Morton Capital Management LLC|CA,quiver,institutional_13f,1415,+12.14%,117,"$553,553,286",1,2025-10-14T11-57-48Z
140 Summer Partners LP,quiver,institutional_13f,1416,+12.13%,9,"$547,369,709",1,2025-10-14T11-57-48Z
"Westchester Capital Management, Inc.",quiver,institutional_13f,1417,+12.12%,38,"$437,961,487",1,2025-10-14T11-57-48Z
"ROI Financial Advisors, LLC",quiver,institutional_13f,1418,+12.12%,65,"$167,260,855",1,2025-10-14T11-57-48Z
FIGURE 8 INVESTMENT STRATEGIES LLC,quiver,institutional_13f,1419,+12.12%,48,"$95,266,958",1,2025-10-14T11-57-48Z
"Marathon Strategic Advisors, LLC",quiver,institutional_13f,1420,+12.11%,34,"$69,120,158",1,2025-10-14T11-57-48Z
"BLKBRD Asset Management, LP",quiver,institutional_13f,1421,+12.11%,19,"$181,765,302",1,2025-10-14T11-57-48Z
"Newbridge Financial Services Group, Inc.",quiver,institutional_13f,1422,+12.10%,1124,"$611,964,051",1,2025-10-14T11-57-48Z
OPTIMUM INVESTMENT ADVISORS,quiver,institutional_13f,1423,+12.10%,539,"$237,283,891",1,2025-10-14T11-57-48Z
"Koa Wealth Management, LLC",quiver,institutional_13f,1424,+12.09%,49,"$114,831,584",1,2025-10-14T11-57-48Z
"LAZARI CAPITAL MANAGEMENT, INC.",quiver,institutional_13f,1425,+12.09%,144,"$263,189,282",1,2025-10-14T11-57-48Z
"ADAGE CAPITAL PARTNERS GP, L.L.C.",quiver,institutional_13f,1426,+12.08%,683,"$56,478,694,603",1,2025-10-14T11-57-48Z
"NWK Group, Inc.",quiver,institutional_13f,1427,+12.08%,62,"$283,289,464",1,2025-10-14T11-57-48Z
"Diversify Advisory Services, LLC",quiver,institutional_13f,1428,+12.07%,712,"$2,491,435,548",1,2025-10-14T11-57-48Z
"Nicholas Wealth, LLC.",quiver,institutional_13f,1429,+12.07%,84,"$176,468,453",1,2025-10-14T11-57-48Z
Intellus Advisors LLC,quiver,institutional_13f,1430,+12.07%,127,"$706,560,453",1,2025-10-14T11-57-48Z
JUPITER ASSET MANAGEMENT LTD,quiver,institutional_13f,1431,+12.07%,386,"$11,613,837,563",1,2025-10-14T11-57-48Z
Munro Partners,quiver,institutional_13f,1432,+12.05%,52,"$2,896,583,050",1,2025-10-14T11-57-48Z
"IEQ CAPITAL, LLC",quiver,institutional_13f,1433,+12.02%,1608,"$16,396,406,032",1,2025-10-14T11-57-48Z
Harel Insurance Investments & Financial Services Ltd.,quiver,institutional_13f,1434,+12.02%,388,"$9,380,862,987",1,2025-10-14T11-57-48Z
WESTFIELD CAPITAL MANAGEMENT CO LP,quiver,institutional_13f,1435,+12.01%,218,"$22,919,067,665",1,2025-10-14T11-57-48Z
"Holocene Advisors, LP",quiver,institutional_13f,1436,+12.00%,704,"$42,672,668,494",1,2025-10-14T11-57-48Z
Squarepoint Ops LLC,quiver,institutional_13f,1437,+11.98%,2263,"$45,123,068,702",1,2025-10-14T11-57-48Z
"GERBER, LLC",quiver,institutional_13f,1438,+11.97%,85,"$137,292,049",1,2025-10-14T11-57-48Z
Aspetuck Financial Management LLC,quiver,institutional_13f,1439,+11.97%,64,"$125,474,007",1,2025-10-14T11-57-48Z
"TRIGLAV INVESTMENTS, D.O.O.",quiver,institutional_13f,1440,+11.97%,122,"$1,407,680,247",1,2025-10-14T11-57-48Z
Hara Capital LLC,quiver,institutional_13f,1441,+11.96%,268,"$155,541,933",1,2025-10-14T11-57-48Z
Lombard Odier Asset Management (Switzerland) SA,quiver,institutional_13f,1442,+11.96%,252,"$2,002,215,264",1,2025-10-14T11-57-48Z
SATURNA CAPITAL CORP,quiver,institutional_13f,1443,+11.96%,146,"$7,894,522,951",1,2025-10-14T11-57-48Z
Unison Asset Management LLC,quiver,institutional_13f,1444,+11.94%,26,"$159,067,171",1,2025-10-14T11-57-48Z
Western Standard LLC,quiver,institutional_13f,1445,+11.94%,19,"$195,312,907",1,2025-10-14T11-57-48Z
"Zullo Investment Group, Inc.",quiver,institutional_13f,1446,+11.94%,146,"$256,043,290",1,2025-10-14T11-57-48Z
"Parkside Investments, LLC",quiver,institutional_13f,1447,+11.93%,82,"$709,102,940",1,2025-10-14T11-57-48Z
Assenagon Asset Management S.A.,quiver,institutional_13f,1448,+11.93%,1028,"$63,122,726,244",1,2025-10-14T11-57-48Z
"Bruce & Co., Inc.",quiver,institutional_13f,1449,+11.93%,33,"$254,939,110",1,2025-10-14T11-57-48Z
ALLIANZ SE,quiver,institutional_13f,1450,+11.92%,357,"$4,324,894,484",1,2025-10-14T11-57-48Z
BOURGEON CAPITAL MANAGEMENT LLC,quiver,institutional_13f,1451,+11.91%,98,"$513,893,721",1,2025-10-14T11-57-48Z
CIBC WORLD MARKET INC.,quiver,institutional_13f,1452,+11.91%,1189,"$47,621,632,828",1,2025-10-14T11-57-48Z
"Hound Partners, LLC",quiver,institutional_13f,1453,+11.91%,27,"$812,735,013",1,2025-10-14T11-57-48Z
"Davies Financial Advisors, Inc.",quiver,institutional_13f,1454,+11.90%,68,"$126,965,840",1,2025-10-14T11-57-48Z
"Briaud Financial Planning, Inc",quiver,institutional_13f,1455,+11.90%,322,"$280,131,704",1,2025-10-14T11-57-48Z
"Cavalier Investments, LLC",quiver,institutional_13f,1456,+11.90%,58,"$305,325,889",1,2025-10-14T11-57-48Z
Atle Fund Management AB,quiver,institutional_13f,1457,+11.90%,31,"$226,938,198",1,2025-10-14T11-57-48Z
Howard Capital Management Inc.,quiver,institutional_13f,1458,+11.89%,375,"$8,646,251,086",1,2025-10-14T11-57-48Z
Global Alpha Capital Management Ltd.,quiver,institutional_13f,1459,+11.89%,52,"$1,713,700,572",1,2025-10-14T11-57-48Z
THOMAS STORY & SON LLC,quiver,institutional_13f,1460,+11.89%,46,"$264,513,229",1,2025-10-14T11-57-48Z
Timber Creek Capital Management LLC,quiver,institutional_13f,1461,+11.89%,68,"$351,159,763",1,2025-10-14T11-57-48Z
"LMCG INVESTMENTS, LLC",quiver,institutional_13f,1462,+11.88%,212,"$1,636,167,643",1,2025-10-14T11-57-48Z
Clean Energy Transition LLP,quiver,institutional_13f,1463,+11.88%,13,"$1,009,605,203",1,2025-10-14T11-57-48Z
"Union Bancaire Privee, UBP SA",quiver,institutional_13f,1464,+11.88%,411,"$5,197,350,125",1,2025-10-14T11-57-48Z
Atika Capital Management LLC,quiver,institutional_13f,1465,+11.88%,45,"$847,170,970",1,2025-10-14T11-57-48Z
HOLLENCREST CAPITAL MANAGEMENT,quiver,institutional_13f,1466,+11.88%,935,"$2,356,247,107",1,2025-10-14T11-57-48Z
Addenda Capital Inc.,quiver,institutional_13f,1467,+11.88%,109,"$2,292,066,762",1,2025-10-14T11-57-48Z
"GRATIA CAPITAL, LLC",quiver,institutional_13f,1468,+11.88%,14,"$76,528,483",1,2025-10-14T11-57-48Z
"CROWLEY WEALTH MANAGEMENT, INC.",quiver,institutional_13f,1469,+11.87%,342,"$116,473,646",1,2025-10-14T11-57-48Z
"Hikari Tsushin, Inc.",quiver,institutional_13f,1470,+11.87%,68,"$616,644,608",1,2025-10-14T11-57-48Z
Garda Capital Partners LP,quiver,institutional_13f,1471,+11.87%,54,"$378,027,596",1,2025-10-14T11-57-48Z
"ECP ControlCo, LLC",quiver,institutional_13f,1472,+11.87%,3,"$157,070,395",1,2025-10-14T11-57-48Z
London & Capital Asset Management Ltd,quiver,institutional_13f,1473,+11.86%,86,"$1,296,472,953",1,2025-10-14T11-57-48Z
"Wealth Preservation Advisors, LLC",quiver,institutional_13f,1474,+11.86%,486,"$169,942,111",1,2025-10-14T11-57-48Z
"Legacy Capital Group California, Inc.",quiver,institutional_13f,1475,+11.85%,295,"$324,938,305",1,2025-10-14T11-57-48Z
Virtus Wealth Solutions LLC,quiver,institutional_13f,1476,+11.85%,40,"$458,395,169",1,2025-10-14T11-57-48Z
GGM Financials LLC,quiver,institutional_13f,1477,+11.85%,40,"$458,395,169",1,2025-10-14T11-57-48Z
Aberdeen Group plc,quiver,institutional_13f,1478,+11.84%,845,"$59,737,957,216",1,2025-10-14T11-57-48Z
AEGON ASSET MANAGEMENT UK PLC,quiver,institutional_13f,1479,+11.84%,146,"$8,019,726,090",1,2025-10-14T11-57-48Z
"Beirne Wealth Consulting Services, LLC",quiver,institutional_13f,1480,+11.84%,96,"$327,951,152",1,2025-10-14T11-57-48Z
"Blue Fin Capital, Inc.",quiver,institutional_13f,1481,+11.83%,136,"$564,541,852",1,2025-10-14T11-57-48Z
"Grange Capital, LLC",quiver,institutional_13f,1482,+11.83%,47,"$90,533,892",1,2025-10-14T11-57-48Z
"TradeWell Securities, LLC.",quiver,institutional_13f,1483,+11.82%,45,"$220,648,964",1,2025-10-14T11-57-48Z
"Cannon Advisors, Inc.",quiver,institutional_13f,1484,+11.82%,63,"$126,987,272",1,2025-10-14T11-57-48Z
"PRESCOTT GROUP CAPITAL MANAGEMENT, L.L.C.",quiver,institutional_13f,1485,+11.81%,200,"$722,891,650",1,2025-10-14T11-57-48Z
"Left Brain Wealth Management, LLC",quiver,institutional_13f,1486,+11.81%,83,"$258,659,776",1,2025-10-14T11-57-48Z
"ATLANTIC INVESTMENT MANAGEMENT, INC.",quiver,institutional_13f,1487,+11.81%,10,"$179,000,963",1,2025-10-14T11-57-48Z
"Hunting Hill Global Capital, LLC",quiver,institutional_13f,1488,+11.81%,51,"$124,129,944",1,2025-10-14T11-57-48Z
"Jackson Wealth Management, LLC",quiver,institutional_13f,1489,+11.80%,90,"$649,248,070",1,2025-10-14T11-57-48Z
"Secure Asset Management, LLC",quiver,institutional_13f,1490,+11.80%,272,"$521,335,308",1,2025-10-14T11-57-48Z
"Bryce Point Capital, LLC",quiver,institutional_13f,1491,+11.80%,165,"$116,044,707",1,2025-10-14T11-57-48Z
"CTC Alternative Strategies, Ltd.",quiver,institutional_13f,1492,+11.80%,131,"$116,624,568",1,2025-10-14T11-57-48Z
Generate Investment Management Ltd,quiver,institutional_13f,1493,+11.79%,77,"$1,594,606,521",1,2025-10-14T11-57-48Z
Cannell & Spears LLC,quiver,institutional_13f,1494,+11.78%,370,"$4,931,382,303",1,2025-10-14T11-57-48Z
"Kovack Advisors, Inc.",quiver,institutional_13f,1495,+11.77%,555,"$1,028,625,842",1,2025-10-14T11-57-48Z
BI Asset Management Fondsmaeglerselskab A|S,quiver,institutional_13f,1496,+11.77%,679,"$10,216,627,117",1,2025-10-14T11-57-48Z
"Carlson Capital, L.P.",quiver,institutional_13f,1497,+11.77%,48,"$181,004,075",1,2025-10-14T11-57-48Z
Coleford Investment Management Ltd.,quiver,institutional_13f,1498,+11.77%,19,"$401,441,658",1,2025-10-14T11-57-48Z
"Bracebridge Capital, LLC",quiver,institutional_13f,1499,+11.76%,16,"$190,366,580",1,2025-10-14T11-57-48Z
LBP AM SA,quiver,institutional_13f,1500,+11.76%,336,"$7,130,364,433",1,2025-10-14T11-57-48Z
Brown Shipley& Co Ltd,quiver,institutional_13f,1501,+11.76%,70,"$193,192,155",1,2025-10-14T11-57-48Z
"Mirae Asset Global Investments Co., Ltd.",quiver,institutional_13f,1502,+11.75%,1383,"$29,121,526,756",1,2025-10-14T11-57-48Z
Sava Infond d.o.o.,quiver,institutional_13f,1503,+11.74%,205,"$602,249,796",1,2025-10-14T11-57-48Z
"CONSULTIVA WEALTH MANAGEMENT, CORP.",quiver,institutional_13f,1504,+11.74%,261,"$35,135,819",1,2025-10-14T11-57-48Z
Ariston Services Group,quiver,institutional_13f,1505,+11.74%,68,"$152,026,143",1,2025-10-14T11-57-48Z
Princeton Global Asset Management LLC,quiver,institutional_13f,1506,+11.74%,672,"$536,530,731",1,2025-10-14T11-57-48Z
Verition Fund Management LLC,quiver,institutional_13f,1507,+11.74%,2266,"$15,506,395,623",1,2025-10-14T11-57-48Z
"SEVEN GRAND MANAGERS, LLC",quiver,institutional_13f,1508,+11.73%,24,"$421,066,338",1,2025-10-14T11-57-48Z
Manitou Investment Management Ltd.,quiver,institutional_13f,1509,+11.73%,47,"$479,998,385",1,2025-10-14T11-57-48Z
Senator Investment Group LP,quiver,institutional_13f,1510,+11.72%,45,"$2,341,365,056",1,2025-10-14T11-57-48Z
Financial Life Planners,quiver,institutional_13f,1511,+11.72%,50,"$124,505,850",1,2025-10-14T11-57-48Z
"Harbour Capital Advisors, LLC",quiver,institutional_13f,1512,+11.72%,254,"$469,571,582",1,2025-10-14T11-57-48Z
ZWJ INVESTMENT COUNSEL INC,quiver,institutional_13f,1513,+11.71%,221,"$2,764,940,890",1,2025-10-14T11-57-48Z
Range Financial Group LLC,quiver,institutional_13f,1514,+11.71%,170,"$225,572,108",1,2025-10-14T11-57-48Z
"VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.",quiver,institutional_13f,1515,+11.71%,185,"$10,629,837,797",1,2025-10-14T11-57-48Z
"ORG Wealth Partners, LLC",quiver,institutional_13f,1516,+11.71%,562,"$209,340,781",1,2025-10-14T11-57-48Z
Candelo Capital Management LP,quiver,institutional_13f,1517,+11.71%,19,"$102,391,608",1,2025-10-14T11-57-48Z
"Owen LaRue, LLC",quiver,institutional_13f,1518,+11.70%,92,"$232,431,548",1,2025-10-14T11-57-48Z
Covington Investment Advisors Inc.,quiver,institutional_13f,1519,+11.69%,69,"$728,619,203",1,2025-10-14T11-57-48Z
"Broadleaf Partners, LLC",quiver,institutional_13f,1520,+11.69%,78,"$445,310,537",1,2025-10-14T11-57-48Z
First Dallas Securities Inc.,quiver,institutional_13f,1521,+11.67%,111,"$248,254,534",1,2025-10-14T11-57-48Z
Truvestments Capital LLC,quiver,institutional_13f,1522,+11.67%,864,"$475,059,389",1,2025-10-14T11-57-48Z
S&T BANK|PA,quiver,institutional_13f,1523,+11.66%,430,"$309,064,605",1,2025-10-14T11-57-48Z
Value Partners Investments Inc.,quiver,institutional_13f,1524,+11.65%,93,"$1,341,664,675",1,2025-10-14T11-57-48Z
"Continuum Advisory, LLC",quiver,institutional_13f,1525,+11.65%,385,"$795,987,365",1,2025-10-14T11-57-48Z
ADELL HARRIMAN & CARPENTER INC,quiver,institutional_13f,1526,+11.64%,167,"$1,632,454,819",1,2025-10-14T11-57-48Z
"JERICHO FINANCIAL, LLP",quiver,institutional_13f,1527,+11.64%,40,"$155,829,965",1,2025-10-14T11-57-48Z
FCG Investment Co,quiver,institutional_13f,1528,+11.63%,90,"$200,868,490",1,2025-10-14T11-57-48Z
NCP Inc.,quiver,institutional_13f,1529,+11.63%,50,"$107,425,502",1,2025-10-14T11-57-48Z
"Quartz Partners, LLC",quiver,institutional_13f,1530,+11.62%,165,"$217,529,569",1,2025-10-14T11-57-48Z
PUBLIC INVESTMENT FUND,quiver,institutional_13f,1531,+11.62%,11,"$19,287,576,679",1,2025-10-14T11-57-48Z
Holowesko Partners Ltd.,quiver,institutional_13f,1532,+11.62%,25,"$252,978,786",1,2025-10-14T11-57-48Z
TORRAY INVESTMENT PARTNERS LLC,quiver,institutional_13f,1533,+11.61%,89,"$664,964,171",1,2025-10-14T11-57-48Z
PURSUE WEALTH PARTNERS LLC,quiver,institutional_13f,1534,+11.60%,101,"$176,074,120",1,2025-10-14T11-57-48Z
"BayBridge Capital Group, LLC",quiver,institutional_13f,1535,+11.59%,82,"$150,486,857",1,2025-10-14T11-57-48Z
Integrated Quantitative Investments LLC,quiver,institutional_13f,1536,+11.59%,331,"$345,155,021",1,2025-10-14T11-57-48Z
"Serenus Wealth Advisors, LLC",quiver,institutional_13f,1537,+11.59%,53,"$792,762,982",1,2025-10-14T11-57-48Z
SAYBROOK CAPITAL |NC,quiver,institutional_13f,1538,+11.59%,35,"$290,085,575",1,2025-10-14T11-57-48Z
"Balefire, LLC",quiver,institutional_13f,1539,+11.58%,322,"$419,934,417",1,2025-10-14T11-57-48Z
VOYA INVESTMENT MANAGEMENT LLC,quiver,institutional_13f,1540,+11.58%,2367,"$89,311,352,781",1,2025-10-14T11-57-48Z
US Asset Management LLC,quiver,institutional_13f,1541,+11.58%,115,"$116,576,709",1,2025-10-14T11-57-48Z
"Pinegrove Venture Partners, LLC",quiver,institutional_13f,1542,+11.58%,10,"$67,554,318",1,2025-10-14T11-57-48Z
"Stanley Capital Management, LLC",quiver,institutional_13f,1543,+11.58%,31,"$519,693,433",1,2025-10-14T11-57-48Z
"Processus Wealth & Capital Management, LLC",quiver,institutional_13f,1544,+11.57%,32,"$134,811,200",1,2025-10-14T11-57-48Z
Spectrum Financial Alliance Ltd LLC,quiver,institutional_13f,1545,+11.57%,23,"$400,156,126",1,2025-10-14T11-57-48Z
Citizens National Bank Trust Department,quiver,institutional_13f,1546,+11.57%,348,"$522,078,075",1,2025-10-14T11-57-48Z
Genus Capital Management Inc.,quiver,institutional_13f,1547,+11.55%,171,"$792,780,779",1,2025-10-14T11-57-48Z
MARCO INVESTMENT MANAGEMENT LLC,quiver,institutional_13f,1548,+11.55%,213,"$1,299,091,493",1,2025-10-14T11-57-48Z
"COMMONS CAPITAL, LLC",quiver,institutional_13f,1549,+11.55%,99,"$135,517,738",1,2025-10-14T11-57-48Z
Sachem Head Capital Management LP,quiver,institutional_13f,1550,+11.55%,16,"$2,674,597,836",1,2025-10-14T11-57-48Z
PineStone Asset Management Inc.,quiver,institutional_13f,1551,+11.55%,43,"$16,750,113,893",1,2025-10-14T11-57-48Z
NEW SOUTH CAPITAL MANAGEMENT INC,quiver,institutional_13f,1552,+11.54%,50,"$2,018,458,790",1,2025-10-14T11-57-48Z
Iron Triangle Partners LP,quiver,institutional_13f,1553,+11.54%,25,"$670,909,618",1,2025-10-14T11-57-48Z
CIBC Capital Markets (Europe) S.A.,quiver,institutional_13f,1554,+11.54%,9,"$258,804,425",1,2025-10-14T11-57-48Z
"Westside Investment Management, Inc.",quiver,institutional_13f,1555,+11.54%,989,"$535,274,430",1,2025-10-14T11-57-48Z
"SUSQUEHANNA FUNDAMENTAL INVESTMENTS, LLC",quiver,institutional_13f,1556,+11.53%,655,"$3,717,745,945",1,2025-10-14T11-57-48Z
FMR LLC,quiver,institutional_13f,1557,+11.52%,4153,"$1,670,911,732,240",1,2025-10-14T11-57-48Z
LVM CAPITAL MANAGEMENT LTD|MI,quiver,institutional_13f,1558,+11.52%,141,"$1,047,993,843",1,2025-10-14T11-57-48Z
"BRANDYWINE MANAGERS, LLC",quiver,institutional_13f,1559,+11.52%,36,"$110,168,852",1,2025-10-14T11-57-48Z
Maj Invest Holding A|S,quiver,institutional_13f,1560,+11.51%,38,"$2,555,823,053",1,2025-10-14T11-57-48Z
"Southeast Asset Advisors, LLC",quiver,institutional_13f,1561,+11.50%,176,"$727,828,731",1,2025-10-14T11-57-48Z
